"Type","Status","Last Updated","Nationality","2017","2018","2019","2020","2021","2022","2023","2024"
"short term visa applications","Received","29/02/2024","Saudi Arabia","2990","2817","2442","312","359","1209","1100","108"
"short term visa applications","Received","29/02/2024","Senegal","73","74","117","20","8","66","73","27"
"short term visa applications","Received","29/02/2024","Serbia","1460","1309","1406","309","323","1016","1315","163"
"short term visa applications","Received","29/02/2024","Sierra Leone","104","127","127","32","16","203","166","16"
"short term visa applications","Received","29/02/2024","Somalia","35","70","87","41","34","128","201","66"
"short term visa applications","Received","29/02/2024","South Sudan","0","13","10","0","*","8","19","*"
"short term visa applications","Received","29/02/2024","Sri Lanka","763","717","886","184","101","569","749","115"
"short term visa applications","Received","29/02/2024","Sudan (the)","1236","1539","1590","230","334","1410","968","68"
"short term visa applications","Received","29/02/2024","Suriname","*","5","6","0","0","*","5","0"
"short term visa applications","Received","29/02/2024","Syrian Arab Republic (the)","339","434","622","68","97","394","378","63"
"short term visa applications","Received","29/02/2024","Tajikistan","11","21","30","6","6","22","22","6"
"short term visa applications","Received","29/02/2024","Tanzania, the United Republic of","203","315","159","43","45","219","380","43"
"short term visa applications","Received","29/02/2024","Thailand","1499","1517","1382","315","189","964","1149","209"
"short term visa applications","Received","29/02/2024","Timor-Leste","*","4","*","*","*","6","10","*"
"short term visa applications","Received","29/02/2024","Togo","36","31","33","*","4","39","24","11"
"short term visa applications","Received","29/02/2024","Tunisia","352","366","399","83","75","341","386","96"
"short term visa applications","Received","29/02/2024","Turkiye","4493","4533","4435","900","791","3590","4862","798"
"short term visa applications","Received","29/02/2024","Turkmenistan","15","14","8","*","4","12","14","0"
"short term visa applications","Received","29/02/2024","Uganda","344","485","484","96","65","560","694","78"
"short term visa applications","Received","29/02/2024","Uzbekistan","136","73","87","16","11","97","73","6"
"short term visa applications","Received","29/02/2024","Venezuela (Bolivarian Republic of)","547","565","525","74","71","373","455","67"
"short term visa applications","Received","29/02/2024","Viet Nam","812","942","935","146","52","585","790","100"
"short term visa applications","Received","29/02/2024","Yemen","124","131","117","13","34","105","89","*"
"short term visa applications","Received","29/02/2024","Zambia","240","242","215","52","33","175","330","55"
"short term visa applications","Received","29/02/2024","Zimbabwe","592","763","675","128","172","566","920","130"
"short term visa applications","Received","29/02/2024","*Other","4659","4256","5221","1012","1003","559","353","58"
"short term visa applications","Granted","29/02/2024","Afghanistan","41","37","96","22","31","134","207","48"
"short term visa applications","Granted","29/02/2024","Albania","322","397","429","50","114","494","488","47"
"short term visa applications","Granted","29/02/2024","Algeria","242","256","361","67","33","170","324","72"
"short term visa applications","Granted","29/02/2024","Angola","48","66","51","8","6","48","67","9"
"short term visa applications","Granted","29/02/2024","Armenia","168","158","268","33","25","230","324","31"
"short term visa applications","Granted","29/02/2024","Azerbaijan","170","198","220","37","73","188","216","37"
"short term visa applications","Granted","29/02/2024","Bahrain","244","211","241","42","76","191","157","23"
"short term visa applications","Granted","29/02/2024","Bangladesh","400","434","467","68","68","473","673","119"
"short term visa applications","Granted","29/02/2024","Belarus","1379","1421","1414","222","110","387","449","62"
"short term visa applications","Granted","29/02/2024","Benin","18","17","26","4","0","*","11","*"
"short term visa applications","Granted","29/02/2024","Bhutan","12","13","8","*","0","*","*","0"
"short term visa applications","Granted","29/02/2024","Bosnia and Herzegovina","406","526","386","110","60","320","344","76"
"short term visa applications","Granted","29/02/2024","Burkina Faso","19","20","18","5","*","14","8","5"
"short term visa applications","Granted","29/02/2024","Burundi","32","19","18","0","*","7","9","0"
"short term visa applications","Granted","29/02/2024","Cabo Verde","8","13","16","*","*","7","6","0"
"short term visa applications","Granted","29/02/2024","Cambodia","52","41","41","14","*","31","70","*"
"short term visa applications","Granted","29/02/2024","Cameroon","166","151","138","37","26","100","158","19"
"short term visa applications","Granted","29/02/2024","Central African Republic (the)","5","9","*","0","0","*","*","*"
"short term visa applications","Granted","29/02/2024","Chad","9","5","9","*","0","*","*","*"
"short term visa applications","Granted","29/02/2024","China","13055","16124","18468","1469","602","3385","10469","1478"
